Name,CAS,Phase,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,phi0,N,R²,χ²,χ̄²,Source,flag,Cat_1,Cat_2,Cat_3
C20,112-95-8,FS5ms,-152.2,NaN,17698.0,NaN,19.84,NaN,262.81,NaN,40.67,NaN,164.99,NaN,-87245.0,NaN,-128.1,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkanes,alkane,
C21,629-94-7,FS5ms,-165.32,NaN,19007.0,NaN,21.58,NaN,273.39,NaN,41.43,NaN,179.47,NaN,-92874.0,NaN,-137.44,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkanes,alkane,
C22,629-97-0,FS5ms,-169.23,NaN,19674.0,NaN,22.05,NaN,283.55,NaN,41.89,NaN,183.35,NaN,-97001.0,NaN,-143.0,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkanes,alkane,
C23,638-67-5,FS5ms,-174.7,NaN,20461.0,NaN,22.73,NaN,293.11,NaN,42.25,NaN,188.99,NaN,-101490.0,NaN,-149.5,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkanes,alkane,
C24*,646-31-1,FS5ms,-174.87,NaN,20881.0,NaN,22.67,NaN,302.05,NaN,42.21,NaN,188.53,NaN,-105160.0,NaN,-154.35,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkanes,alkane,
C25*,629-99-2,FS5ms,-176.27,NaN,21372.0,NaN,22.79,NaN,310.67,NaN,42.26,NaN,189.51,NaN,-108880.0,NaN,-159.12,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkanes,alkane,
C26*,630-01-3,FS5ms,-200.49,NaN,23453.0,NaN,26.07,NaN,320.42,NaN,44.16,NaN,216.77,NaN,-116280.0,NaN,-172.46,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkanes,alkane,
C27*,593-49-7,FS5ms,-172.64,NaN,21870.0,NaN,22.15,NaN,326.62,NaN,41.9,NaN,184.17,NaN,-114960.0,NaN,-165.62,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkane,alkanes,
C28*,630-02-4,FS5ms,-172.89,NaN,22254.0,NaN,22.12,NaN,334.19,NaN,41.82,NaN,183.91,NaN,-118240.0,NaN,-169.42,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkanes,alkane,
C29*,630-03-5,FS5ms,-172.62,NaN,22595.0,NaN,22.02,NaN,341.4,NaN,41.67,NaN,183.07,NaN,-121380.0,NaN,-172.91,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkane,alkanes,
C30*,638-68-6,FS5ms,-173.26,NaN,22994.0,NaN,22.04,NaN,348.39,NaN,41.57,NaN,183.28,NaN,-124640.0,NaN,-177.08,NaN,90.0,0.001,NaN,NaN,NaN,NaN,Leppert2020b,String[],alkanes,alkane,
2-Methylhexane,591-76-4,SLB5ms,-53.815,NaN,5979.5,NaN,6.9793,NaN,36.575,NaN,25.127,NaN,58.029,NaN,-28643.0,NaN,-47.346,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SLB5ms,-65.065,NaN,7837.9,NaN,8.342,NaN,94.769,NaN,28.386,NaN,69.359,NaN,-39980.0,NaN,-62.763,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SLB5ms,-78.343,NaN,9301.7,NaN,10.095,NaN,123.05,NaN,29.606,NaN,83.934,NaN,-46858.0,NaN,-72.67,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SLB5ms,-69.549,NaN,7455.5,NaN,9.1142,NaN,66.428,NaN,26.445,NaN,75.78,NaN,-34469.0,NaN,-55.772,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,SLB5ms,-55.991,NaN,6112.9,NaN,7.2821,NaN,36.388,NaN,24.83,NaN,60.547,NaN,-28838.0,NaN,-48.072,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SLB5ms,-67.332,NaN,7958.0,NaN,8.6675,NaN,94.302,NaN,28.288,NaN,72.066,NaN,-39996.0,NaN,-62.944,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SLB5ms,-83.936,NaN,9625.7,NaN,10.895,NaN,123.31,NaN,29.621,NaN,90.583,NaN,-47137.0,NaN,-73.326,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SLB5ms,-71.054,NaN,7571.2,NaN,9.3171,NaN,66.89,NaN,26.261,NaN,77.467,NaN,-34818.0,NaN,-56.657,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,SLB5ms,-49.433,NaN,5743.6,NaN,6.3457,NaN,36.233,NaN,25.32,NaN,52.761,NaN,-28595.0,NaN,-47.233,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SLB5ms,-66.645,NaN,7912.1,NaN,8.5745,NaN,94.636,NaN,28.426,NaN,71.292,NaN,-39895.0,NaN,-62.571,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SLB5ms,-79.791,NaN,9374.5,NaN,10.307,NaN,123.12,NaN,29.682,NaN,85.695,NaN,-46824.0,NaN,-72.572,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SLB5ms,-61.973,NaN,7014.5,NaN,8.0354,NaN,66.162,NaN,26.85,NaN,66.81,NaN,-34060.0,NaN,-54.629,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,SPB50,-34.71,NaN,4724.3,NaN,4.2419,NaN,19.536,NaN,24.597,NaN,35.269,NaN,-26472.0,NaN,-45.42,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SPB50,-58.333,NaN,7052.5,NaN,7.4651,NaN,77.565,NaN,27.738,NaN,62.068,NaN,-36098.0,NaN,-57.057,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SPB50,-72.504,NaN,8864.4,NaN,9.2972,NaN,121.95,NaN,30.071,NaN,77.301,NaN,-45631.0,NaN,-69.852,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SPB50,-60.372,NaN,6922.4,NaN,7.8201,NaN,68.202,NaN,27.398,NaN,65.02,NaN,-33944.0,NaN,-53.659,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,SPB50,-30.605,NaN,4508.1,NaN,3.6465,NaN,19.165,NaN,24.824,NaN,30.319,NaN,-26472.0,NaN,-45.42,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SPB50,-53.164,NaN,6805.6,NaN,6.7047,NaN,77.821,NaN,27.666,NaN,55.746,NaN,-36341.0,NaN,-57.669,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SPB50,-79.396,NaN,9289.7,NaN,10.271,NaN,122.07,NaN,29.864,NaN,85.395,NaN,-46228.0,NaN,-71.356,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SPB50,-66.417,NaN,7343.7,NaN,8.6506,NaN,69.071,NaN,26.719,NaN,71.925,NaN,-34939.0,NaN,-56.316,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,SPB50,-45.028,NaN,5181.4,NaN,5.7804,NaN,19.056,NaN,24.449,NaN,48.061,NaN,-25627.0,NaN,-43.016,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,SPB50,-58.071,NaN,7031.8,NaN,7.4295,NaN,77.4,NaN,27.756,NaN,61.772,NaN,-36033.0,NaN,-56.921,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,SPB50,-77.532,NaN,9134.1,NaN,10.024,NaN,121.96,NaN,30.174,NaN,83.344,NaN,-45679.0,NaN,-69.992,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,SPB50,-68.16,NaN,7342.6,NaN,8.9455,NaN,68.413,NaN,27.213,NaN,74.377,NaN,-34040.0,NaN,-53.894,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,Wax,-87.495,NaN,6649.5,NaN,12.187,NaN,-6.5593,NaN,20.9,NaN,101.33,NaN,-18489.0,NaN,-28.826,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,Wax,-44.577,NaN,5688.3,NaN,5.6253,NaN,50.213,NaN,27.024,NaN,46.771,NaN,-30310.0,NaN,-48.153,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,Wax,-89.504,NaN,10403.0,NaN,11.617,NaN,144.14,NaN,31.348,NaN,96.592,NaN,-51414.0,NaN,-78.193,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,Wax,-79.062,NaN,8708.9,NaN,10.344,NaN,100.39,NaN,28.8,NaN,86.006,NaN,-41177.0,NaN,-64.36,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,Wax,-80.48,NaN,6391.2,NaN,11.112,NaN,-5.6982,NaN,20.92,NaN,92.391,NaN,-19588.0,NaN,-32.13,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,Wax,-48.144,NaN,5910.5,NaN,6.1261,NaN,50.592,NaN,26.687,NaN,50.935,NaN,-30646.0,NaN,-49.103,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,Wax,-86.851,NaN,10261.0,NaN,11.234,NaN,144.17,NaN,31.253,NaN,93.406,NaN,-51392.0,NaN,-78.102,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,Wax,-75.093,NaN,8503.8,NaN,9.7664,NaN,100.31,NaN,28.72,NaN,81.202,NaN,-41216.0,NaN,-64.485,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
2-Methylhexane,591-76-4,Wax,-25.103,NaN,3602.5,NaN,3.0206,NaN,-12.475,NaN,24.139,NaN,25.115,NaN,-20832.0,NaN,-35.554,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
"2,6-Dimethyloctane",2051-30-1,Wax,-50.425,NaN,5975.5,NaN,6.4814,NaN,49.875,NaN,26.881,NaN,53.889,NaN,-30113.0,NaN,-47.698,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,,
4-Nonanol,5932-79-6,Wax,-91.296,NaN,10490.0,NaN,11.879,NaN,144.05,NaN,31.449,NaN,98.767,NaN,-51354.0,NaN,-78.093,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
3-Hexanol,623-37-0,Wax,-79.655,NaN,8723.1,NaN,10.437,NaN,100.29,NaN,28.9,NaN,86.78,NaN,-41014.0,NaN,-63.953,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,,
1-Undecanol,112-42-5,SLB5ms,-91.556,NaN,11217.0,NaN,11.775,NaN,169.59,NaN,32.65,NaN,97.9,NaN,-57710.0,NaN,-86.24,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Dodecanol,112-53-8,SLB5ms,-95.906,NaN,11905.0,NaN,12.306,NaN,183.71,NaN,33.219,NaN,102.32,NaN,-61830.0,NaN,-91.93,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tridecanol,112-70-9,SLB5ms,-100.24,NaN,12591.0,NaN,12.835,NaN,196.9,NaN,33.694,NaN,106.72,NaN,-65930.0,NaN,-97.62,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tetradecanol,112-72-1,SLB5ms,-104.51,NaN,13269.0,NaN,13.356,NaN,209.38,NaN,34.117,NaN,111.05,NaN,-70000.0,NaN,-103.25,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
Undecane,1120-21-4,SLB5ms,-73.766,NaN,9041.5,NaN,9.4606,NaN,126.82,NaN,30.429,NaN,78.66,NaN,-46610.0,NaN,-70.98,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,Grob,alkanes
Dodecane,112-40-3,SLB5ms,-89.963,NaN,11291.0,NaN,11.503,NaN,172.98,NaN,32.312,NaN,95.64,NaN,-59150.0,NaN,-88.57,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
Tridecane,629-50-5,SLB5ms,-84.144,NaN,10518.0,NaN,10.762,NaN,158.57,NaN,31.741,NaN,89.48,NaN,-54960.0,NaN,-82.66,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
Tetradecane,629-59-4,SLB5ms,-89.963,NaN,11291.0,NaN,11.503,NaN,172.98,NaN,32.312,NaN,95.64,NaN,-59150.0,NaN,-88.57,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
1-Undecanol,112-42-5,SLB5ms,-98.123,NaN,11625.0,NaN,12.703,NaN,170.0,NaN,32.755,NaN,105.62,NaN,-58300.0,NaN,-87.61,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Dodecanol,112-53-8,SLB5ms,-102.21,NaN,12296.0,NaN,13.197,NaN,184.14,NaN,33.397,NaN,109.73,NaN,-62390.0,NaN,-93.23,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tridecanol,112-70-9,SLB5ms,-108.39,NaN,13095.0,NaN,13.989,NaN,197.44,NaN,34.008,NaN,116.31,NaN,-66640.0,NaN,-99.29,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tetradecanol,112-72-1,SLB5ms,-113.01,NaN,13798.0,NaN,14.559,NaN,210.06,NaN,34.526,NaN,121.05,NaN,-70760.0,NaN,-105.03,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
Undecane,1120-21-4,SLB5ms,-77.682,NaN,9260.0,NaN,10.026,NaN,127.36,NaN,30.586,NaN,83.36,NaN,-46720.0,NaN,-71.13,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,Grob,alkanes
Dodecane,112-40-3,SLB5ms,-81.782,NaN,9941.8,NaN,10.519,NaN,143.86,NaN,31.303,NaN,87.46,NaN,-50900.0,NaN,-76.95,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
Tridecane,629-50-5,SLB5ms,-87.5,NaN,10713.0,NaN,11.244,NaN,159.22,NaN,31.949,NaN,93.49,NaN,-55120.0,NaN,-82.92,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
Tetradecane,629-59-4,SLB5ms,-93.31,NaN,11488.0,NaN,11.983,NaN,173.7,NaN,32.552,NaN,99.63,NaN,-59340.0,NaN,-88.89,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
1-Undecanol,112-42-5,SLB5ms,-100.89,NaN,11785.0,NaN,13.101,NaN,170.7,NaN,32.997,NaN,108.93,NaN,-58430.0,NaN,-87.79,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Dodecanol,112-53-8,SLB5ms,-105.86,NaN,12507.0,NaN,13.722,NaN,184.9,NaN,33.721,NaN,114.09,NaN,-62560.0,NaN,-93.52,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tridecanol,112-70-9,SLB5ms,-109.79,NaN,13171.0,NaN,14.195,NaN,198.28,NaN,34.303,NaN,118.02,NaN,-66650.0,NaN,-99.16,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tetradecanol,112-72-1,SLB5ms,-114.25,NaN,13863.0,NaN,14.742,NaN,210.96,NaN,34.843,NaN,122.57,NaN,-70750.0,NaN,-104.85,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
Undecane,1120-21-4,SLB5ms,-77.655,NaN,9257.2,NaN,10.025,NaN,127.73,NaN,30.678,NaN,83.35,NaN,-46700.0,NaN,-70.98,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,Grob,alkanes
Dodecane,112-40-3,SLB5ms,-81.974,NaN,9949.6,NaN,10.55,NaN,144.32,NaN,31.429,NaN,87.72,NaN,-50870.0,NaN,-76.76,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
Tridecane,629-50-5,SLB5ms,-87.067,NaN,10683.0,NaN,11.187,NaN,159.68,NaN,32.071,NaN,93.01,NaN,-55050.0,NaN,-82.63,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
Tetradecane,629-59-4,SLB5ms,-92.853,NaN,11456.0,NaN,11.923,NaN,174.25,NaN,32.697,NaN,99.13,NaN,-59250.0,NaN,-88.54,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
1-Undecanol,112-42-5,SLB5ms,-101.85,NaN,11840.0,NaN,13.244,NaN,171.84,NaN,33.303,NaN,110.12,NaN,-58450.0,NaN,-87.57,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Dodecanol,112-53-8,SLB5ms,-104.9,NaN,12441.0,NaN,13.594,NaN,186.01,NaN,34.013,NaN,113.03,NaN,-62390.0,NaN,-92.85,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tridecanol,112-70-9,SLB5ms,-105.91,NaN,12931.0,NaN,13.651,NaN,199.38,NaN,34.453,NaN,113.5,NaN,-66300.0,NaN,-98.01,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tetradecanol,112-72-1,SLB5ms,-109.39,NaN,13569.0,NaN,14.059,NaN,212.01,NaN,34.88,NaN,116.89,NaN,-70370.0,NaN,-103.6,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
Undecane,1120-21-4,SLB5ms,-72.21,NaN,8947.5,NaN,9.2513,NaN,128.88,NaN,30.915,NaN,76.92,NaN,-46460.0,NaN,-70.04,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,Grob,alkanes
Dodecane,112-40-3,SLB5ms,-78.444,NaN,9741.5,NaN,10.054,NaN,145.42,NaN,31.662,NaN,83.59,NaN,-50640.0,NaN,-75.88,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
Tridecane,629-50-5,SLB5ms,-84.626,NaN,10535.0,NaN,10.847,NaN,160.94,NaN,32.342,NaN,90.19,NaN,-54840.0,NaN,-81.78,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
Tetradecane,629-59-4,SLB5ms,-90.616,NaN,11318.0,NaN,11.612,NaN,175.38,NaN,32.93,NaN,96.55,NaN,-59040.0,NaN,-87.73,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
1-Undecanol,112-42-5,SLB5ms,-86.096,NaN,10979.0,NaN,11.001,NaN,174.61,NaN,33.121,NaN,91.47,NaN,-58070.0,NaN,-85.17,NaN,90.0,0.0009433962264150943,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Dodecanol,112-53-8,SLB5ms,-98.346,NaN,12122.0,NaN,12.661,NaN,188.68,NaN,33.991,NaN,105.27,NaN,-62560.0,NaN,-91.88,NaN,90.0,0.0009433962264150943,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tridecanol,112-70-9,SLB5ms,-100.39,NaN,12667.0,NaN,12.867,NaN,201.84,NaN,34.416,NaN,106.98,NaN,-66470.0,NaN,-97.08,NaN,90.0,0.0009433962264150943,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
1-Tetradecanol,112-72-1,SLB5ms,-102.62,NaN,13222.0,NaN,13.1,NaN,214.34,NaN,34.765,NaN,108.92,NaN,-70380.0,NaN,-102.27,NaN,90.0,0.0009433962264150943,NaN,NaN,NaN,NaN,McGinitie2011,String[],alcohol,alcohols,
Undecane,1120-21-4,SLB5ms,-79.938,NaN,9381.3,NaN,10.383,NaN,131.39,NaN,31.587,NaN,86.33,NaN,-46650.0,NaN,-69.41,NaN,90.0,0.0009433962264150943,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,Grob,alkanes
Dodecane,112-40-3,SLB5ms,-87.012,NaN,10229.0,NaN,11.303,NaN,148.07,NaN,32.448,NaN,93.98,NaN,-50920.0,NaN,-75.48,NaN,90.0,0.0009433962264150943,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
Tridecane,629-50-5,SLB5ms,-93.869,NaN,11064.0,NaN,12.192,NaN,163.74,NaN,33.267,NaN,101.37,NaN,-55180.0,NaN,-81.54,NaN,90.0,0.0009433962264150943,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
Tetradecane,629-59-4,SLB5ms,-100.27,NaN,11872.0,NaN,13.016,NaN,178.47,NaN,34.029,NaN,108.22,NaN,-59410.0,NaN,-87.55,NaN,90.0,0.0009433962264150943,NaN,NaN,NaN,NaN,McGinitie2011,String[],alkane,alkanes,
2-Undecanone,112-12-9,Wax,-75.635,NaN,9841.2,NaN,9.6458,NaN,164.18,NaN,34.014,NaN,80.2,NaN,-52700.0,NaN,-75.9,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2012a,String[],alkanones,ketone,
2-Dodecanone,6175-49-1,Wax,-80.987,NaN,10535.0,NaN,10.331,NaN,177.54,NaN,34.551,NaN,85.9,NaN,-56400.0,NaN,-81.1,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2012a,String[],alkanones,ketone,
2-Tridecanone,593-08-8,Wax,-86.422,NaN,11234.0,NaN,11.029,NaN,190.26,NaN,35.074,NaN,91.7,NaN,-60100.0,NaN,-86.3,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2012a,String[],alkanones,ketone,
1-Undecanol,112-42-5,Wax,-103.14,NaN,12564.0,NaN,13.302,NaN,193.86,NaN,34.335,NaN,110.6,NaN,-64300.0,NaN,-95.0,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2012a,String[],alcohol,alcohols,
1-Dodecanol,112-53-8,Wax,-107.02,NaN,13160.0,NaN,13.783,NaN,205.64,NaN,34.943,NaN,114.6,NaN,-67800.0,NaN,-99.7,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2012a,String[],alcohol,alcohols,
1-Tridecanol,112-70-9,Wax,-111.43,NaN,13770.0,NaN,14.336,NaN,215.36,NaN,35.27,NaN,119.2,NaN,-71200.0,NaN,-104.6,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2012a,String[],alcohol,alcohols,
dodecane,112-40-3,SPB50,-171.14,NaN,13936.0,NaN,23.71,NaN,135.74,NaN,39.42,NaN,197.14,NaN,-44280.0,NaN,-63.72,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2014a,String[],alkane,alkanes,
1-dodecanol,112-53-8,SPB50,-151.29,NaN,14783.0,NaN,20.356,NaN,192.26,NaN,40.799,NaN,169.25,NaN,-61450.0,NaN,-90.93,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2014a,String[],alcohol,alcohols,
2-dodecanone,6175-49-1,SPB50,-150.73,NaN,14433.0,NaN,20.35,NaN,182.53,NaN,40.24,NaN,169.2,NaN,-58560.0,NaN,-86.65,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2014a,String[],alkanones,ketone,
Undecane,1120-21-4,SLB5ms,-76.423,NaN,9244.6,NaN,9.7914,NaN,121.88,NaN,29.023,NaN,81.41,NaN,-47300.0,NaN,-74.11,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2014a,String[],alkane,Grob,alkanes
dodecane,112-40-3,SLB5ms,-82.183,NaN,10024.0,NaN,10.523,NaN,138.31,NaN,29.733,NaN,87.49,NaN,-51570.0,NaN,-80.08,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2014a,String[],alkane,alkanes,
tridecane,629-50-5,SLB5ms,-86.524,NaN,10717.0,NaN,11.053,NaN,153.78,NaN,30.389,NaN,91.9,NaN,-55730.0,NaN,-85.77,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2014a,String[],alkane,alkanes,
tetradecane,629-59-4,SLB5ms,-95.258,NaN,11578.0,NaN,12.24,NaN,168.05,NaN,31.508,NaN,101.77,NaN,-59310.0,NaN,-90.33,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2014a,String[],alkane,alkanes,
2-undecanone,112-12-9,SLB5ms,-92.967,NaN,11003.0,NaN,12.003,NaN,153.22,NaN,30.891,NaN,99.8,NaN,-55240.0,NaN,-84.87,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2014a,String[],alkanones,ketone,
2-dodecanone,6175-49-1,SLB5ms,-80.176,NaN,10792.0,NaN,10.057,NaN,168.2,NaN,30.662,NaN,83.62,NaN,-59360.0,NaN,-90.08,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2014a,String[],alkanones,ketone,
2-tridecanone,593-08-8,SLB5ms,-103.6,NaN,12498.0,NaN,13.342,NaN,181.88,NaN,32.215,NaN,110.93,NaN,-63630.0,NaN,-96.55,NaN,90.0,0.001,NaN,NaN,NaN,NaN,McGinitie2014a,String[],alkanones,ketone,
